time_period,time_identifier,geographic_level,country_code,country_name,gender,subject,mode_of_study,level,domicile,t_students
202122,Academic year,National,K02000001,United Kingdom,Male,Business and management,Part-time,PhD and equivalent,Total,1565
202122,Academic year,National,K02000001,United Kingdom,Male,Combined and general studies,Full-time,First degree,Total,2615
202122,Academic year,National,K02000001,United Kingdom,Male,Combined and general studies,Full-time,Masters and Others,Total,775
202122,Academic year,National,K02000001,United Kingdom,Male,Combined and general studies,Full-time,Other Undergraduate,Total,1855
202122,Academic year,National,K02000001,United Kingdom,Male,Combined and general studies,Full-time,PhD and equivalent,Total,120
202122,Academic year,National,K02000001,United Kingdom,Male,Combined and general studies,Part-time,First degree,Total,4790
202122,Academic year,National,K02000001,United Kingdom,Male,Combined and general studies,Part-time,Masters and Others,Total,2925
202122,Academic year,National,K02000001,United Kingdom,Male,Combined and general studies,Part-time,Other Undergraduate,Total,6420
202122,Academic year,National,K02000001,United Kingdom,Male,Combined and general studies,Part-time,PhD and equivalent,Total,120
202122,Academic year,National,K02000001,United Kingdom,Male,Computing,Full-time,First degree,Total,73760
202122,Academic year,National,K02000001,United Kingdom,Male,Computing,Full-time,Masters and Others,Total,25350
202122,Academic year,National,K02000001,United Kingdom,Male,Computing,Full-time,Other Undergraduate,Total,3365
202122,Academic year,National,K02000001,United Kingdom,Male,Computing,Full-time,PhD and equivalent,Total,3125
202122,Academic year,National,K02000001,United Kingdom,Male,Computing,Part-time,First degree,Total,13905
202122,Academic year,National,K02000001,United Kingdom,Male,Computing,Part-time,Masters and Others,Total,6895
202122,Academic year,National,K02000001,United Kingdom,Male,Computing,Part-time,Other Undergraduate,Total,1725
202122,Academic year,National,K02000001,United Kingdom,Male,Computing,Part-time,PhD and equivalent,Total,605
202122,Academic year,National,K02000001,United Kingdom,Male,"Design, and creative and performing arts",Full-time,First degree,Total,54030
202122,Academic year,National,K02000001,United Kingdom,Male,"Design, and creative and performing arts",Full-time,Masters and Others,Total,7085
202122,Academic year,National,K02000001,United Kingdom,Male,"Design, and creative and performing arts",Full-time,Other Undergraduate,Total,4170
202122,Academic year,National,K02000001,United Kingdom,Male,"Design, and creative and performing arts",Full-time,PhD and equivalent,Total,740
202122,Academic year,National,K02000001,United Kingdom,Male,"Design, and creative and performing arts",Part-time,First degree,Total,1780
202122,Academic year,National,K02000001,United Kingdom,Male,"Design, and creative and performing arts",Part-time,Masters and Others,Total,1680
202122,Academic year,National,K02000001,United Kingdom,Male,"Design, and creative and performing arts",Part-time,Other Undergraduate,Total,810
202122,Academic year,National,K02000001,United Kingdom,Male,"Design, and creative and performing arts",Part-time,PhD and equivalent,Total,615
202122,Academic year,National,K02000001,United Kingdom,Male,Education and teaching,Full-time,First degree,Total,5100
202122,Academic year,National,K02000001,United Kingdom,Male,Education and teaching,Full-time,Masters and Others,Total,9705
202122,Academic year,National,K02000001,United Kingdom,Male,Education and teaching,Full-time,Other Undergraduate,Total,1620
202122,Academic year,National,K02000001,United Kingdom,Male,Education and teaching,Full-time,PhD and equivalent,Total,460
202122,Academic year,National,K02000001,United Kingdom,Male,Education and teaching,Part-time,First degree,Total,905
202122,Academic year,National,K02000001,United Kingdom,Male,Education and teaching,Part-time,Masters and Others,Total,9930
202122,Academic year,National,K02000001,United Kingdom,Male,Education and teaching,Part-time,Other Undergraduate,Total,1670
202122,Academic year,National,K02000001,United Kingdom,Male,Education and teaching,Part-time,PhD and equivalent,Total,1265
