time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,pupil_teacher_ratio
202021,Academic year,Regional,E92000001,England,E13000001,Inner London,Primary,17.8
202021,Academic year,Regional,E92000001,England,E13000001,Inner London,Secondary,14.5
202021,Academic year,Regional,E92000001,England,E13000001,Inner London,Special,5.1
202021,Academic year,Regional,E92000001,England,E13000001,Inner London,Total maintained,15.6
202021,Academic year,Regional,E92000001,England,E13000002,Outer London,Nursery,18.5
202021,Academic year,Regional,E92000001,England,E13000002,Outer London,Primary,20.1
202021,Academic year,Regional,E92000001,England,E13000002,Outer London,Secondary,16.4
202021,Academic year,Regional,E92000001,England,E13000002,Outer London,Special,5.5
202021,Academic year,Regional,E92000001,England,E13000002,Outer London,Total maintained,17.6
202122,Academic year,National,E92000001,England,,,Nursery,23.4
202122,Academic year,National,E92000001,England,,,Primary,20.6
202122,Academic year,National,E92000001,England,,,Secondary,16.7
202122,Academic year,National,E92000001,England,,,Special,6.3
202122,Academic year,National,E92000001,England,,,Total maintained,18
202122,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,31.2
202122,Academic year,Regional,E92000001,England,E12000001,North East,Primary,19.9
202122,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,16.8
202122,Academic year,Regional,E92000001,England,E12000001,North East,Special,6.8
202122,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,17.7
202122,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,24
202122,Academic year,Regional,E92000001,England,E12000002,North West,Primary,21.1
202122,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,16.3
202122,Academic year,Regional,E92000001,England,E12000002,North West,Special,6.8
202122,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,18.1
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,22.2
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,21.1
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,17
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,6.8
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,18.5
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,21.2
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,20.8
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,17.1
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,6.7
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,18.4
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,25.1
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,21.1
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,16.4
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,6.7
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,18.1
202122,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,26.2
202122,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,20.7
202122,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,17.1
202122,Academic year,Regional,E92000001,England,E12000006,East of England,Special,6.2
202122,Academic year,Regional,E92000001,England,E12000006,East of England,Total maintained,18.3
202122,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,23
202122,Academic year,Regional,E92000001,England,E12000008,South East,Primary,20.7
202122,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,16.8
202122,Academic year,Regional,E92000001,England,E12000008,South East,Special,6.1
202122,Academic year,Regional,E92000001,England,E12000008,South East,Total maintained,18
202122,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,24.7
202122,Academic year,Regional,E92000001,England,E12000009,South West,Primary,20.6
202122,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,16.9
202122,Academic year,Regional,E92000001,England,E12000009,South West,Special,5.9
202122,Academic year,Regional,E92000001,England,E12000009,South West,Total maintained,18
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,Nursery,19.6
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,Primary,18
