time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,gender,t_fte_teachers
201617,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,Male,9919.083535
201617,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,Total,27562.08667
201617,Academic year,Regional,E92000001,England,E12000002,North West,Special,Female,2359.374074
201617,Academic year,Regional,E92000001,England,E12000002,North West,Special,Male,839.9159259
201617,Academic year,Regional,E92000001,England,E12000002,North West,Special,Total,3199.29
201617,Academic year,Regional,E92000001,England,E12000002,North West,Total,Female,46088.71684
201617,Academic year,Regional,E92000001,England,E12000002,North West,Total,Male,15504.13333
201617,Academic year,Regional,E92000001,England,E12000002,North West,Total,Total,61610.13242
201617,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,Female,46088.71684
201617,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,Male,15504.13333
201617,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,Total,61610.13242
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,Female,74.58
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,Male,4.5
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,Total,79.08
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,Female,18557.140024
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,Male,3363.8755203
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,Total,21921.015549
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,Female,12373.51871
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,Male,7719.798089
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,Total,20104.3368
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,Female,1233.5
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,Male,509.79
201617,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,Total,1743.29
