time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,t_schools
201920,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,31
201920,Academic year,Regional,E92000001,England,E12000001,North East,Primary,858
201920,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,176
201920,Academic year,Regional,E92000001,England,E12000001,North East,Special,78
201920,Academic year,Regional,E92000001,England,E12000001,North East,Total,1196
201920,Academic year,Regional,E92000001,England,E12000002,North West,Non-maintained mainstream,272
201920,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,66
201920,Academic year,Regional,E92000001,England,E12000002,North West,Primary,2449
201920,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,471
201920,Academic year,Regional,E92000001,England,E12000002,North West,Special,210
201920,Academic year,Regional,E92000001,England,E12000002,North West,Total,3468
201920,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Non-maintained mainstream,148
201920,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,27
201920,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,1776
201920,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,329
201920,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,114
201920,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total,2394
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Non-maintained mainstream,158
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,32
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,1642
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,291
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,105
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,2228
201920,Academic year,Regional,E92000001,England,E12000005,West Midlands,Non-maintained mainstream,226
201920,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,56
201920,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,1772
201920,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,421
201920,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,166
201920,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,2641
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Non-maintained mainstream,233
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,38
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,1993
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,392
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Special,138
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Total,2794
201920,Academic year,Regional,E92000001,England,E12000007,London,Non-maintained mainstream,541
201920,Academic year,Regional,E92000001,England,E12000007,London,Nursery,79
201920,Academic year,Regional,E92000001,England,E12000007,London,Primary,1814
201920,Academic year,Regional,E92000001,England,E12000007,London,Secondary,518
201920,Academic year,Regional,E92000001,England,E12000007,London,Special,207
201920,Academic year,Regional,E92000001,England,E12000007,London,Total,3159
201920,Academic year,Regional,E92000001,England,E12000008,South East,Non-maintained mainstream,537
201920,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,42
201920,Academic year,Regional,E92000001,England,E12000008,South East,Primary,2598
201920,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,513
201920,Academic year,Regional,E92000001,England,E12000008,South East,Special,200
201920,Academic year,Regional,E92000001,England,E12000008,South East,Total,3890
201920,Academic year,Regional,E92000001,England,E12000009,South West,Non-maintained mainstream,221
201920,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,18
201920,Academic year,Regional,E92000001,England,E12000009,South West,Primary,1882
201920,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,345
201920,Academic year,Regional,E92000001,England,E12000009,South West,Special,124
201920,Academic year,Regional,E92000001,England,E12000009,South West,Total,2590
202021,Academic year,National,E92000001,England,,,Non-maintained mainstream,2423
202021,Academic year,National,E92000001,England,,,Nursery,388
202021,Academic year,National,E92000001,England,,,Primary,16791
202021,Academic year,National,E92000001,England,,,Secondary,3458
202021,Academic year,National,E92000001,England,,,Special,1353
202021,Academic year,National,E92000001,England,,,Total,24413
202021,Academic year,Regional,E92000001,England,E12000001,North East,Non-maintained mainstream,58
202021,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,31
202021,Academic year,Regional,E92000001,England,E12000001,North East,Primary,859
202021,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,174
202021,Academic year,Regional,E92000001,England,E12000001,North East,Special,79
202021,Academic year,Regional,E92000001,England,E12000001,North East,Total,1201
202021,Academic year,Regional,E92000001,England,E12000002,North West,Non-maintained mainstream,287
202021,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,65
202021,Academic year,Regional,E92000001,England,E12000002,North West,Primary,2450
202021,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,470
202021,Academic year,Regional,E92000001,England,E12000002,North West,Special,211
202021,Academic year,Regional,E92000001,England,E12000002,North West,Total,3483
202021,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Non-maintained mainstream,155
202021,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,27
