time_period,time_identifier,geographic_level,country_code,country_name,education_function,expenditure_type,expenditure_level,t_expenditure_millions,t_expenditure_real_terms_millions,pt_expenditure_of_gdp
201718,Financial year,National,K02000001,United Kingdom,Total,Capital,Central,4727.0220000000008,z,z
201718,Financial year,National,K02000001,United Kingdom,Total,Total,Central,41143.042000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Under fives,Current,Total,3458.1959999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Under fives,Capital,Total,85.342000000000013,z,z
201718,Financial year,National,K02000001,United Kingdom,Under fives,Total,Total,3543.538,z,z
201718,Financial year,National,K02000001,United Kingdom,Primary education,Current,Total,24517.483,z,z
201718,Financial year,National,K02000001,United Kingdom,Primary education,Capital,Total,2572.8429999999998,z,z
201718,Financial year,National,K02000001,United Kingdom,Primary education,Total,Total,27090.326000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Secondary education,Current,Total,37785.354999999996,z,z
201718,Financial year,National,K02000001,United Kingdom,Secondary education,Capital,Total,3185.9539999999997,z,z
201718,Financial year,National,K02000001,United Kingdom,Secondary education,Total,Total,40971.308999999994,z,z
201718,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Current,Total,453.45,z,z
201718,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Capital,Total,127.55500000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Total,Total,581.005,z,z
201718,Financial year,National,K02000001,United Kingdom,Tertiary education,Current,Total,4925.6779999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Tertiary education,Capital,Total,492.86900000000003,z,z
201718,Financial year,National,K02000001,United Kingdom,Tertiary education,Total,Total,5418.5469999999996,z,z
201718,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Current,Total,3354.078,z,z
201718,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Capital,Total,30.484999999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Total,Total,3384.5630000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Research & Development education,Current,Total,-1.1759999999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Research & Development education,Capital,Total,1816.374,z,z
201718,Financial year,National,K02000001,United Kingdom,Research & Development education,Total,Total,1815.1980000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Current,Total,1697.4669999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Capital,Total,646.798,z,z
201718,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Total,Total,2344.2649999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Total,Current,Total,76190.531000000003,z,z
201718,Financial year,National,K02000001,United Kingdom,Total,Capital,Total,8958.2200000000012,z,z
201718,Financial year,National,K02000001,United Kingdom,Total,Total,Total,85148.751000000004,99988.5519355085,4.04906266271978
201819,Financial year,National,K02000001,United Kingdom,Under fives,Current,Local,3765.2220000000002,z,z
201819,Financial year,National,K02000001,United Kingdom,Under fives,Capital,Local,73.628,z,z
201819,Financial year,National,K02000001,United Kingdom,Under fives,Total,Local,3838.8500000000004,z,z
201819,Financial year,National,K02000001,United Kingdom,Primary education,Current,Local,23807.112000000001,z,z
201819,Financial year,National,K02000001,United Kingdom,Primary education,Capital,Local,2091.9560000000001,z,z
201819,Financial year,National,K02000001,United Kingdom,Primary education,Total,Local,25899.067999999999,z,z
201819,Financial year,National,K02000001,United Kingdom,Secondary education,Current,Local,9016.6830000000009,z,z
201819,Financial year,National,K02000001,United Kingdom,Secondary education,Capital,Local,1265.213,z,z
201819,Financial year,National,K02000001,United Kingdom,Secondary education,Total,Local,10281.896000000001,z,z
201819,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Current,Local,444.572,z,z
201819,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Capital,Local,40.271000000000001,z,z
201819,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Total,Local,484.84300000000002,z,z
201819,Financial year,National,K02000001,United Kingdom,Tertiary education,Current,Local,0,z,z
201819,Financial year,National,K02000001,United Kingdom,Tertiary education,Capital,Local,0,z,z
201819,Financial year,National,K02000001,United Kingdom,Tertiary education,Total,Local,0,z,z
201819,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Current,Local,3042.9250000000002,z,z
201819,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Capital,Local,8.5960000000000001,z,z
201819,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Total,Local,3051.5210000000002,z,z
201819,Financial year,National,K02000001,United Kingdom,Research & Development education,Current,Local,0,z,z
201819,Financial year,National,K02000001,United Kingdom,Research & Development education,Capital,Local,0,z,z
201819,Financial year,National,K02000001,United Kingdom,Research & Development education,Total,Local,0,z,z
201819,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Current,Local,32.549999999999997,z,z
201819,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Capital,Local,0,z,z
201819,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Total,Local,32.549999999999997,z,z
201819,Financial year,National,K02000001,United Kingdom,Total,Current,Local,40109.064000000013,z,z
201819,Financial year,National,K02000001,United Kingdom,Total,Capital,Local,3479.6640000000007,z,z
201819,Financial year,National,K02000001,United Kingdom,Total,Total,Local,43588.728000000017,z,z
201819,Financial year,National,K02000001,United Kingdom,Under fives,Current,Central,85.26,z,z
201819,Financial year,National,K02000001,United Kingdom,Under fives,Capital,Central,1.92,z,z
201819,Financial year,National,K02000001,United Kingdom,Under fives,Total,Central,87.18,z,z
201819,Financial year,National,K02000001,United Kingdom,Primary education,Current,Central,680.89700000000005,z,z
201819,Financial year,National,K02000001,United Kingdom,Primary education,Capital,Central,59.768000000000001,z,z
201819,Financial year,National,K02000001,United Kingdom,Primary education,Total,Central,740.66500000000008,z,z
201819,Financial year,National,K02000001,United Kingdom,Secondary education,Current,Central,30358.057000000001,z,z
201819,Financial year,National,K02000001,United Kingdom,Secondary education,Capital,Central,2437.6590000000001,z,z
201819,Financial year,National,K02000001,United Kingdom,Secondary education,Total,Central,32795.716,z,z
201819,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Current,Central,0,z,z
201819,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Capital,Central,0,z,z
201819,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Total,Central,0,z,z
201819,Financial year,National,K02000001,United Kingdom,Tertiary education,Current,Central,4330.7700000000004,z,z
201819,Financial year,National,K02000001,United Kingdom,Tertiary education,Capital,Central,290.60599999999999,z,z
201819,Financial year,National,K02000001,United Kingdom,Tertiary education,Total,Central,4621.3760000000002,z,z
201819,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Current,Central,591.99099999999999,z,z
201819,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Capital,Central,2.5680000000000001,z,z
201819,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Total,Central,594.55899999999997,z,z
201819,Financial year,National,K02000001,United Kingdom,Research & Development education,Current,Central,-0.19600000000000001,z,z
201819,Financial year,National,K02000001,United Kingdom,Research & Development education,Capital,Central,2259.364,z,z
201819,Financial year,National,K02000001,United Kingdom,Research & Development education,Total,Central,2259.1680000000001,z,z
